"id","name","difficulty","elementType","workoutType","isDoableAtHome","description","totalTime","createdAt","creatorId","updatedAt"
21,,BLACK,STRENGTH_OR_SKILLS,,false,"4 x E3,5M
1 - 5 Power snatch starting at 60% of 1 RM
1 - 4 Rope climbs optional with or without legs/Floor variation

Explosive hip knee extension and fast feet on the PS. Best possible technique on the rope climb or keep building that strength with a floor variation. 

",,2022-05-28 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.157
1460,,RED,UNCLASSIFIED,,false,"Red - Intense

A. 4 x E3,5M
6 + 6 DB Bulgarian split squats 3s eccentric
4 - 6 Harop curls or Leg curl on the rower

B. ""D.T""
5 rounds for time:
12 Deadlifts 70/47,5 kg 
9 Hang power cleans 
6 Push jerks
Time cap 15 min
Estimate weight from 70% of 1 RM Push jerk

A. Use DBs on the BSS and strive for hitting the front leg/glute as much as possible. Keep the tempo on both movements. Maybe stay of max effort to save some energy for ""D.T""...

B. Classic ""Hero"" benchmark with a lot grit practice. Make sure to choose weights according to capacity and make sure to hit the correct tempo from the start. For most of us the Hang power cleans is the toughest movement, so maybe break them up from the start. This one will be nasty!",,2022-05-14 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-20 15:02:14.584
13,,,GYMNASTICS,,false,"EMOM x 12 
1) 10-40sec Handstand Tuck Hold - Wall facing 
2) 10x L-sit leglift over Medball/DB
3) 4-10 HS Plate step ups (plates outside hands)
4) 4-8 Pull Ups in rope/Row in rope

B.  AMRAP 3x3 - 2 min rest   
5 HSPU 
6 alt V ups 
10 Airsquats

OLY
A. EMOM x 5
5 Snatch push press (behind neck)
B. EMOM x 5
5 Snatch push jerk (behind neck)
C. 10 min. Go E2M
5-4-3-2-1 Hang squat snatch
D. In 12 min. 
Build up to a heavy 1-3RM OHS
",,2022-05-19 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.157
34,,BLACK,WOD,FOR_TIME,false,"""Chipper"" for time:
85 Wallballs 9/6 kg 3/2,7 m
65 Boxjump over 60/50 cm
45 Toes to bar
25 Power snatch 45/30 kg or 60% of 1RM
9 Wall walks
Time cap 16 min

Scaled variation
85 Wallballs 9/6/3 kg 2,7 m
65 Box step over 60/50 cm
45 Knee raises
25 Power snatch 30/20 kg
5 Wall walks or 9 Walk out to pushup
Time cap 16 min

Long ""Chipper"" style met-con that finishes with wall walks. Pace this one from the start to enable a strong finish. Probably break up the WBs, T2B and Power snathces in small sets. ",16.0,2022-06-21 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.157
12,,BLACK,WOD,AMRAP,false,"5 min AMRAP
20 One arm DB snatch 22,5/15 kg
3 Rope climbs 3,5 m
3 min Rest
5 min AMRAP
5 Devils press 2 x 22,5/15 kg
3 Bar muscle - ups/Bands/Jumping variation from box

Scaled alternative
5 min AMRAP
20 One arm DB snatch at individual weights
8 Ring rows at individual angle
3 min Rest
5 min AMRAP
5 Devils press at individual weights
8 Australian rows

Two short and technical amraps. All of the options will build your grip and pulling strength. Make sure to use the chalk and even thou the amraps are short pace it according to your capacity. On the Australian row make sure that the bar is firmly stuck to the rack for safety measures. 

",13.0,2022-05-19 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.157
32,,YELLOW,WOD,AMRAP,false,"15 min AMRAP
15 Wallballs 9/6 kg 3/2,7 m
15/13 cal Row
15 Boxjumps 60/50 cm

""Recover"" on the row and pace from the start to stay below the lactic thresh hold. ",15.0,2022-06-14 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.157
51,,,STRENGTH_OR_SKILLS,,true,"4 x EMOM
6-8 tempo push ups 21x1
10-12 Alternating v-ups
5 - 7 + 5 - 7 Skater squats for quality
rest 1 min",16.0,2022-07-07 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.158
45,,YELLOW,WOD,AMRAP,false,"18 min AMRAP
9 Burpee boxjumps
18 Wallballs 9/6 kg and 3/2,7 m
27 Kettlebell swings lagom 24/16 kg

Big movements so probably keep the tempo down if you want to be able to stay below the lactic thresh hold.",18.0,2022-07-04 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.157
38,,,GYMNASTICS,,false,"A. 8min 
4-5 Rope climbs/ legless or practice

B. 3 rounds
5-7 Saw in rings
10-20m Sandbag walk
6-8 Ring dips 
3-6 Strict HSPU 

C. 4 rounds - 30 sec ON/ 15sec OFF
Plank diagonal lifts
Lying Windshield wipers

OLY
5xEMOM
3 Power clean and jerk
5xE2M
1 power clean
2 front squat
1 jerk
5xE3M
4 Front squat 80%
5xE2M
2 Front squat 90%
",,2022-06-23 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.157
49,Randy with a twist,RED,WOD,FOR_TIME,false,"For time:
25 Power snatch 35/25 kg or 40 - 50% of 1RM
75 Double unders/Singel unders 2 for 1
25 Power snatch 
75 Double unders/SU 2 for 1
25 Power snatch
75 Double unders/SU 2 for 1
Time cap 13 min

Very intense met-con with two classic CF movements. If 225 DU is to much maybe do a combination of DUs and Singel unders but don´t settle for the easy way out.",13.0,2022-07-05 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.157
10,,YELLOW,WOD,AMRAP,false,"18 min AMRAP
15 Kettlebell swings american 24/16 kg
12 Burpees
9 Thrusters 30/20 kg
6 Lunge wallballs 9/6 kg 3/2,7 m

 Tricky intermediate met-con because of the big movements and a relatively large leg load. If your goal is to keep an even tempo all the way through you will probably have to pace a lot from the start.",18.0,2022-05-17 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.156
39,,YELLOW,STRENGTH_OR_SKILLS,,false,"4 x E3M

 5X5 Backrack backward barbell lunges 
  + 
  5 L + 5 R One leg KB deadlifts",12.0,2022-06-29 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.157
1313,Handstand rock training,BLACK,STRENGTH_OR_SKILLS,EMOM,true,"6 times E2M - 10 Handstand rock
Good position, core tight glutes tight",12.0,2022-08-14 07:34:35.125,cl6jsjxy00006uyo8h2v8fr2e,2022-08-14 20:36:25.859
54,,GREEN,STRENGTH_OR_SKILLS,,true,"1 min on, 1 min off x 3
1. Handstand hold/pike hold
2. Wall sit
3. lateral pistol hold 30/30",12.0,2022-07-11 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.157
46,,YELLOW,STRENGTH_OR_SKILLS,,true,"3 rounds of:
30 s wall sit + weight
10 squat jumps (+weight)
20 jumping lunges
rest 1-1,5 min",,2022-07-04 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.157
31,,YELLOW,STRENGTH_OR_SKILLS,,false,"15 min 4 x 5 rep Back squat starting at 70% of 1 RM

Tight core, deep and with control.",15.0,2022-06-14 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.157
68,,RED,STRENGTH_OR_SKILLS,,false,"In 12 min 4 - 5 sets x 5 reps
5 Back squats 
Start from 70% of 1RM and increase the weight btw 2,5 - 5 kg each set
Rest minimum 90s btw each set

A. Tight set up on each rep and brace harder as the weight increases.",12.0,2022-07-22 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.158
60,,GREEN,ENDURANCE,,false,"600 m Row, Ski or Run
8 Top to floor Turkish get ups alternating side 16/12 kg
32 Situps
4 Wall walks or 4 Walk outs to pushup
16 DB Box step overs 60/50 cm 22,5/15 kg carry anyhow

Aerobic pace from the start and break up all the movements besides the monostructural work.",40.0,2022-07-15 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.158
62,,,STRENGTH_OR_SKILLS,,true,"5 rounds of:
Core and Carry
10 m Duck walk (arms extended overhead if possible)
10 sit ups
10 m OH carry R
10 tuck - ups (touch the toes)
10 m OH -carry L
10 Elbow to knee aka Bicycle crunches
10 m Zercher carry
Find something pretty heavy",,2022-07-15 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.158
72,,BLACK,STRENGTH_OR_SKILLS,,false,"5 x E3,5M
2 - 6 Deficit handstand pushups/Mat/Abmat
1 - 2 L + 1 - 2 R Turkish get up with KB or DB 

Scaled variation
3 - 6 Pike pushups with tempo 3s down
1 - 2 + 1 - 2 Turkish get up KB or DB

Build to a to a harder HSPU on each set using plates or less abmats. On the TGUs also build up using heavier and heavier weights.",18.0,2022-08-03 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.158
36,,YELLOW,STRENGTH_OR_SKILLS,EMOM,false,"4 x E2M
10 - 8 - 6 - 4 Ring pushups

Strict Ring push ups with increased load every round.",8.0,2022-06-23 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.157
1461,,YELLOW,UNCLASSIFIED,,false,"Yellow - Intermediate

A. 4 x E3M
5 Push press starting at 70% of 1RM
6 - 8 One arm DB rows with 2s eccentric

B. 18 min AMRAP
3/2 Wall walks
9 Box step over with DB carry anyhow 60/50 cm 22,5/15 kg
18 Deadlifts 80/50 kg or 40% of 1RM
30s rest

A. Push press is about finding a good rack position which enables you to use your legs. On the OA BD rows work on the mind muscle connection. Focus on using the lat muscles. 

B. Even thou there is a 30s rest every round make sure to not rush this one from the start. Quality reps all the way through.

INTENSE MOBILITY
3 rounds of
50s Cozzack squats
25s L +25s R One arm Side plank raises
3 rounds of
15s L + 15s R Scissor squat holds
50s Diagonal dead bugs
3 rounds of
50s Elephant walks
50s Reverse Nordics
3 rounds of
50s Pass throughs prone
25s L + 25s R Quadruped leg swing
3 rounds of
50s Bridge wall walks
50s Freestanding calf raises",,2022-05-09 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-20 15:02:14.584
57,,RED,STRENGTH,,false,"6 x E2M
1 - 5 Power clean and jerk
Build from 60% of 1RM. Touch and go reps with best possible technique.",12.0,2022-07-13 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.157
53,Filthy fifty,GREEN,WOD,FOR_TIME,false,"For Time;
50 Box Jumps/Step ups 60/50 cm
50 Jumping Pull-Ups
50 Kettlebell Swings american 16/12 kg or individual weight
50 Walking Lunge Steps
50 Knees-to-Elbows/Knee-raises
50 Push Presses 20/15 kg or individual weight
50 Back Extensions in the GHD/50 Barbell goodmornings 20/15 kg
50 Wall Ball Shots 9/6 kg 3/2,7 m
50 Burpees
50 Double-Unders/Singel unders 2 for 1 Double under
Time cap 35 min

The Filthy fifty is a classic CrossFit benchmark workout that can be very hard if your going all out. If this is your first workout of many this week it´s recommended to stay back on the pace and break up or slow down on all of the movements. 

The correct height for the Jumping pull-ups is 5 to 10 cm below the wrist. 

To accommodate the workout in a class setting the movements can be performed in any order.",25.0,2022-07-11 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.158
71,,YELLOW,WOD,AMRAP,false,"20 min AMRAP
20 Squats
15 Situps optional with Abmat
5 + 5 One arm DB push press 2x22,5/15 kg or individual weights
5 Devils DB power clean 2x22,5/15 kg or individual

Clean technique all the way through and find your own tempo staying just below the lactic thresh hold.",20.0,2022-08-01 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.158
73,Open 20.1,BLACK,WOD,AMRAP,false,"AMRAP in 15 minutes
3 Wall Walks
12 Dumbbell Snatches 22,5/15 kg
15 Box Jump Overs 60/50  cm

Scaled variation
AMRAP in 15 minutes
3 Partial Wall Walks or Walk out to pushup
12 Dumbbell Snatches 15/10 kg or lighter
15 Box Jump Overs 60/50 cm or lower

The exact standards can be read here; https://games.crossfit.com/workouts/open/2022/1
For training thou touching the chest or nose to the wall without arching the back is a good standard. 
Find your own sustainable pace from the start and if possible finish strong the last two minutes.",15.0,2022-08-03 00:00:00.000,admin,2022-08-10 22:02:30.158
30,,YELLOW,WOD,AMRAP,false,"20 min AMRAP
14/12 cal Row
10L + 10R One arm DB push jerk/press 22,5/15 kg
8 DB step ups carry anyhow 60/50 cm
6 Burpee with DB power clean 2 x 22,5/15 kg

Long intermediate met-con with a lot of Dumbell work. Use the row as your recovery piece.",20.0,2022-06-10 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.157
65,,,STRENGTH_OR_SKILLS,,true,"Activation/strength and mobility posterior chain/hamstrings
A. 20 frog pumps
20-30 s hamstring walk in/out
5 hip rolls/leg
x3",,2022-07-18 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.158
43,,BLACK,WOD,AMRAP,false,"6 min AMRAP
6 Chest to bar pullups
12 Overhead squats 50/35 kg or 50 - 60% of 1 RM
3 min Rest
6 min AMRAP
12 Toes to bar
6 Squat snatch 50/35 kg or 60 - 70% of 1 RM

Scaled variation
6 min AMRAP
6 Pullups/Band/Jumping
12 Overhead squats 30/20 kg or individual weight
3 min Rest
6 min AMRAP
12 Knee raises
6 Squat snatch or Squat clean at 30/20 kg or individual weights

Tough couplet of barbell and bar work. Probably break up both movements from the start and strive for best possible movement/technique.",15.0,2022-07-01 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.157
56,Smoked legs,GREEN,WOD,AMRAP,true,"25 min amrap 
Broad jumps x 4
Jump squats x 4
Laterala lunges x 6 alt ben
Bear Squats x 8
Table rocks x 10
Diagonal Mountain climbers x 12
Air squats x 14
jumping lunges x 16
2 min active recovery (walk)",25.0,2022-07-11 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.157
75,,YELLOW,WOD,AMRAP,false,"21 min AMRAP
42 Lunges walking forward in any direction 
35 Sumo Deadlift high pull 35/25 kg
28 Bicycle crunches touching elbow to knee/Without touch
21 Pushups
15 Pullups or Barbell row same weight as SDLHP

Long intermediate met-con with a lot of everything. Pace it from the beginning.",21.0,2022-08-05 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.158
27,,YELLOW,WOD,AMRAP,false,"16 min AMRAP
40 Double unders/Single unders 2 for 1
10 Deadlifts 100/70 kg or 50% of 1 RM
8 Boxjump over 60/50 cm
6 Burpee boxjump
Rest 30s

Four different movements but a lot of legs on everyone. Probably pace it more then you might think from the start.",16.0,2022-06-06 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.157
40,,YELLOW,WOD,AMRAP,false,"20MN AMRAP 

 10 Deadlift 80/60 Kg 
 10 Hand release push ups 
 10 Kettlebell alternating backward lunges 24/16 Kg 
 10 Boxjumps 60/50 cm",20.0,2022-06-29 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.157
1462,,,UNCLASSIFIED,,false,"TEAM	

A. 15 min AMRAP
10 Chest to bar pullups/Pullups/Eccentric/Ring row
15 KB frontrack squats 2 x 24/16 kg or Individual weights
20 Sumo deadlift high pull 50/35 kg 

B. 15 min AMRAP
30 Wallballs 9/6 kg 3/2,7 m
15 Singel arm Devils press 22,5/15 kg
10 Power snatch 50/35 kg

Divide these two high intensity pieces anyhow. Can you move well with good technique all the way through?		

STRENGTH
A. 4 x E3M
1 - 3 Rope climbs
10 - 20m Heavy sled push
B. 4 x E3M
5 Narrow grip bench press starting at 70%
5 + 5 One leg KB deadlift with a one arm row on every rep
C. 4 x E3M
20 - 30m Heavy farmers carry
5 Sandbag/Medball over shoulder clean",,2022-05-15 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-20 15:02:14.584
44,,YELLOW,STRENGTH_OR_SKILLS,EMOM,false,"6 x E2M
3 Deadlift + 2 Low hang power clean + 1 Front squat
Build up the weight gradually focusing on the technique

Start the hang power clean below the knees. Maybe go heavy if the technique feels good.",12.0,2022-07-04 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.157
1466,,GREEN,UNCLASSIFIED,,false,"Green - Endurance

35 min (5 rounds)
20 - 30 cal Row, Ski or Bike (2 min)
10 - 20 Step ups 60/50 cm (1 min) Optional with DB
15 - 30 Sit-ups (1 min) Optional with Abmat
75 - 200 Singel unders (2 min)
15 - 45 s Supinated pullup hold/Band/Ring row hold (1 min)

Go easy today if you did yesterdays and/or mondays workout and if you want to keep this session in the aerobic zone. Transition when there is 10s left of the window. 

INTENSE MOBILITY
3 rounds of
50s Back body line pulses
25s L + 25s R Side plank rotations
3 rounds of
50s Teardrop squats
50s Pass through weighted
3 rounds of
25s Hamstring walk outs + 25s Hip thrust hold on toes
50s Handstand arch hold
3 rounds of
15s L + 15s R Dragon squat hold
10 - 20s L + 10 - 20s R One arm scap pulls/Hang/Two hands
3 rounds of
50s Bridge wall walks
50s Russian baby makers",,2022-05-25 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-20 15:02:14.584
1470,,YELLOW,UNCLASSIFIED,,false,"Yellow - Intermediate

A. 4 x E3M
4 - 6 Ring pushups with 4s eccentric
6 - 8 L + 6 - 8 R One arm Dumbell rows with 2s eccentric

B. TEAM
22 min AMRAP
24 One arm DB snatch 22,5/15 kg
18 Boxjump over 60/50 cm
12 Toes to Bar/Knee raises 2 for 1
6/3 Wall walk/Walk out to superplank

A. Best possible technique on every rep. 

B. Divide this one anyhow. Your goal is to keep moving all the way through with good technique. 

GYMNASTICS
A. 3-4  rounds
5x Hollow to support
3x Kick to Handstand - Tuck down 
5x kipped dips
8x Narrow grip PVC Overhead squats

B. E3M x 6 Alternate between B.1 and B.2 
B.1: 20x HSPU + 50x Double Unders 
(Scaled- 10-15 HSPU + 75 Single Under) 
B.2: 20M Handstand Walk + 15 Burpees 
(Scaled 6-15m HSW or 10-30 shoulder taps + 5-13 Burpees) 

OLY
A. 5xE2M
1 high hang snatch
1 hang snatch
1 snatch balance
B. 5xE2M
1 squat snatch
3 OHS
C. 5xE2M
5 Snatch pull
5xEMOM
8-10 Barbell row",,2022-05-26 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-20 15:02:14.584
1478,,,UNCLASSIFIED,,false,"TEAM

A. 15 min AMRAP
2 L + 2 R Turkish get up 16/12 kg (synchronized)
20 Double KB russian swing 2x16/12 kg (divide anyhow)
30 Frontrack KB squat 2x16/12 kg (divide anyhow)

B. 15 min AMRAP
10 L + 10 R One arm KB snatch 16/12 kg (synchronized)
20 Handrelease pushups (divide anyhow)
30 KB backward lunges 16/12 kg (divide anyhow)

Two intense KB met-cons. Probably break up the non-synchronized movements evenly from the start and after a while be prepared to change the game plan if one of you is a bit stronger than the other. Rest 3 min btw A. and B.		

STRENGTH
A. 4 x E3M
3 - 5 Front squats starting at 75% of 1 RM
directly into 3 jumps in the stairs 3, 4 or 5 steps. Walk down btw the jumps. 
B. 4 x E3M
10 m Heavy sledpush 
directly into
15s of Split jumps high
15s of fast Burpees
C. 4 x E3M
5 Narrow grip bench press
directly into 
20 m Heavy sandbag or heavy atlasball carry",,2022-06-05 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-20 15:02:14.584
1463,,RED,UNCLASSIFIED,,false,"Red - Intense

A. 5 x E2M
3 Deadlifts with a new set up on each rep
directly into
3 Broad jumps
Start the DLs from 70% of 1 RM 

B. 6 min AMRAP
5 Power clean 70/45 kg or 70% of 1 RM
9 Toes to bar/15 Knee raises
45 Double unders/Singel unders 2 for 1
3 min Rest 
4 min AMRAP
5 Power clean 60/35 kg
7 Toes to bar/12 Knee raises
35 Double unders/Singel unders 2 for 1

A. Super tight set up on each DL and make sure to perform the broad jumps with control on the landings.

B. Very intense met-con which requiries a good strategy and focus from the start. Can you keep a high pace on the last rounds also?

INTENSE MOBILITY
3 rounds of
50s Hollow V-ups weighted
50s Dynamic pigeons
3 rounds of
50s Sissy squats
50s Lateral swings
3 rounds of
50s Straddle ups
50s Handstand wallfacing shoulder taps
3 rounds of
50s Horse stance pulses
50s Weighted shoulder complex
3 rounds of
20 - 50s Bridge hold
15s Straddle lifts + 30s Pike lifts",,2022-05-18 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-20 15:02:14.584
1467,,,UNCLASSIFIED,,false,"TEAM
AMRAP 35 min (divide anyhow)
150 m Heavy Sandbag or Medball carry
100 Double unders/Singel unders 2 for 1
75 cal Row, Bike or Ski
50 Handrelease pushups
25 Dumbell thrusters 2 x 22,5/15 kg

STRENGTH
A. 4 x E3M
10 Backrack backward barbell lunges
directly into
5 - 10 High and heavy Wallballs (as high and heavy form allows)

B. 4 x E3M
5 - 10 Pushups with hands on a barbell
directly into
5 Explosive Burpee boxjumps (high)

C. 4 x E3M
5 - 10 Ring rows
directly into
20 - 40 m Heavy sandbag carry

On the Pushups make sure the barbell is not rolling and maybe use extra weight on the back. Touch the chest on the barbell every rep. ",,2022-05-22 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-20 15:02:14.584
70,,YELLOW,STRENGTH_OR_SKILLS,EMOM,false,"A. 3 x E2,5M
6 Back squats 
Starting from 75% of 1 RM

B. 3 x E2M
6 Z press with DBs

A. Brace hard on the Back squats and if possible increase the weight a bit each set.

B. Strict controlled tempo on the DB Z press",13.5,2022-08-01 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.158
25,,YELLOW,WOD,AMRAP,false,"20 min AMRAP
6 Burpee boxjumps 60/50 cm
12 One arm DB snatches 22,5/15 kg
18 Wallballs 9/6 kg 3/2,7 m
1 min Rest

Long intermediate amrap in a interval format. If your strong on the OA DB snatch and WB´s maybe go unbroken?",20.0,2022-06-01 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.157
