"id","name","difficulty","elementType","isDoableAtHome","description","totalTime","createdAt","updatedAt","creatorId","workoutType"
1773,"",GREEN,ENDURANCE,false,"5 Rounds On the minute of:
12 - 18 Kettlebell swings lagom 24/16 kg
6 - 14 Pushups
6 - 12 Medball cleans
4 - 8 Single arm Devils press alternating hands 22,5/15 kg
14 - 30 Bicycle crunches
6 - 14 KB backward lunges 0 - 24 kg
4 - 7 L + 4 - 7 R One arm DB push press 22,5/15 kg or individual weights

Seven movements of different character. Choose a number where you know for sure that you can keep all the way through. If this is your fourth or fifth session this week make sure to stay more aerobic by choosing a number or reps and weights that is a bit more to the easier side.",35.0,2022-09-08 21:20:06.749,2022-09-08 21:20:06.750,cl6jsjxy00006uyo8h2v8fr2e,EMOM
49,Randy with a twist,RED,WOD,false,"For time:
25 Power snatch 35/25 kg or 40 - 50% of 1RM
75 Double unders/Singel unders 2 for 1
25 Power snatch 
75 Double unders/SU 2 for 1
25 Power snatch
75 Double unders/SU 2 for 1
Time cap 13 min

Very intense met-con with two classic CF movements. If 225 DU is to much maybe do a combination of DUs and Singel unders but don´t settle for the easy way out.",13.0,2022-07-05 00:00:00.000,2022-08-10 22:02:30.157,cl6jsjxy00006uyo8h2v8fr2e,FOR_TIME
53,Filthy fifty,GREEN,WOD,false,"For Time;
50 Box Jumps/Step ups 60/50 cm
50 Jumping Pull-Ups
50 Kettlebell Swings american 16/12 kg or individual weight
50 Walking Lunge Steps
50 Knees-to-Elbows/Knee-raises
50 Push Presses 20/15 kg or individual weight
50 Back Extensions in the GHD/50 Barbell goodmornings 20/15 kg
50 Wall Ball Shots 9/6 kg 3/2,7 m
50 Burpees
50 Double-Unders/Singel unders 2 for 1 Double under
Time cap 35 min

The Filthy fifty is a classic CrossFit benchmark workout that can be very hard if your going all out. If this is your first workout of many this week it´s recommended to stay back on the pace and break up or slow down on all of the movements. 

The correct height for the Jumping pull-ups is 5 to 10 cm below the wrist. 

To accommodate the workout in a class setting the movements can be performed in any order.",25.0,2022-07-11 00:00:00.000,2022-08-10 22:02:30.158,cl6jsjxy00006uyo8h2v8fr2e,FOR_TIME
73,Open 20.1,BLACK,WOD,false,"AMRAP in 15 minutes
3 Wall Walks
12 Dumbbell Snatches 22,5/15 kg
15 Box Jump Overs 60/50  cm

Scaled variation
AMRAP in 15 minutes
3 Partial Wall Walks or Walk out to pushup
12 Dumbbell Snatches 15/10 kg or lighter
15 Box Jump Overs 60/50 cm or lower

The exact standards can be read here; https://games.crossfit.com/workouts/open/2022/1
For training thou touching the chest or nose to the wall without arching the back is a good standard. 
Find your own sustainable pace from the start and if possible finish strong the last two minutes.",15.0,2022-08-03 00:00:00.000,2022-08-10 22:02:30.158,admin,AMRAP
1671,"2K Rowing",NULL,WOD,false,"2K Row for time is a very good measurement of your absolute aerobic capacity. 
This means you have to pace yourself somewhat from the beginning to stay just below the lactic threshold and then finish strong.",16.0,2022-08-31 13:05:33.715,2022-09-03 19:51:58.088,cl6jsjxy00006uyo8h2v8fr2e,FOR_TIME
22,NULL,BLACK,WOD,false,"5 rounds for time:
5 Devils press 2 x 22,5/15 kg
7 Chest to bar pullups/Pullups
9 Burpee boxjump 60/50 cm
35 Double unders/Singel unders 2 for 1
Time cap 16 min

Scaled variation
5 rounds for time:
5 Devils press 2 x 15/10 kg
7 Band pullups/Jumping pullups
9 Burpee box step up
50 Singel unders
Time cap 16 min

High skill met-con with a lot of upper body work. Can you move well all the way through?",16.0,2022-05-28 00:00:00.000,2022-08-10 22:02:30.157,cl6jsjxy00006uyo8h2v8fr2e,FOR_TIME
11,NULL,BLACK,STRENGTH_OR_SKILLS,false,"4 x E2,5M
1 - 5 Strict Ring muscle-ups/Progression work
or 
Scaled variation
2 - 5 Supinated strict pullups/Eccentrics/Band
2 - 5 Bar dips/Eccentrics/Band

If you still haven´t got the strict muscle up practice the strength and technique on that. A good alternative is also to work on the strict strength requirements for the movement.",10.0,2022-05-19 00:00:00.000,2022-08-10 22:02:30.156,cl6jsjxy00006uyo8h2v8fr2e,NULL
4,NULL,GREEN,ENDURANCE,false,"2 Rounds (32 min)

3 min Flywheel bike
1 min Handstand hold wallfacing/Pike hold
3 min Shuttle run 10 m or Treadmill
1 min Hang from the bar. Try different grips supinated, mix grip and also small swings back and forth or sideways. 
3 min Singel unders two feet, run, one foot etc. Mix it up!
1 min Front leaning rest in the rings/Floor. Best possible hollow ""gymnasty"" position!
3 min Ski erg
1 min Heavy sandbag och Medball hold

Endurance session which will be strengthening the central capacity (heart and lungs) and also the muscular upper body isometric endurance. Maybe try nose breathing on the conditioning movements. ",32.0,2022-05-07 00:00:00.000,2022-08-10 22:02:30.156,cl6jsjxy00006uyo8h2v8fr2e,NULL
20,NULL,BLACK,WOD,false,"10 - 1 reps for time:
Power clean and Jerk 50/35 kg or 60% of 1 RM
Lunge wallballs 9/6 kg 3/2,7 m
Time cap 15 min

Scaled variation
Power clean 40/25 kg
Backward lunges with WB in a overhead position
Time cap 15 min

Two big movements in a very tough combination. Probably move to singles on the PC and J early and also make sure to keep the standard when it comes to the height of the LWB throws. Two big movements in a very tough combination. Probably move to singles on the PC and J early and also make sure to keep the standard when it comes to the height of the LWB throws. ",15.0,2022-05-24 00:00:00.000,2022-08-10 22:02:30.157,cl6jsjxy00006uyo8h2v8fr2e,FOR_TIME
17,NULL,RED,WOD,false,"B. 12 min AMRAP
6 Pullups/Band/Ring row
9 Lateral burpees over barbell/Step over
12 Front squats 30/20 kg or individual weight

B. Very intense met-con with big movements. Probably pace a little bit from the start to be able to keep the intensity all the way through.",12.0,2022-05-23 00:00:00.000,2022-08-10 22:02:30.156,cl6jsjxy00006uyo8h2v8fr2e,AMRAP
3,NULL,BLACK,WOD,false,"15 min AMRAP

15 Wallballs 9/6 kg 3/2,7 m
20 KB swings Russian 32/24 kg
5 L + 5 R One arm DB hang clean and jerks 22,5/15 kg
10 Toes to bar/Knee raise 2 for 1
",15.0,2022-05-01 00:00:00.000,2022-08-10 22:02:30.156,cl6jsjxy00006uyo8h2v8fr2e,AMRAP
1572,"",BLACK,STRENGTH_OR_SKILLS,false,"4 x E3,5M
1 - 5 Strict Ring muscle-ups/Progression work
or 
Scaled variation
2 - 5 Supinated strict pullups/Eccentrics/Band
2 - 5 Bar dips/Eccentrics/Band

1 - 3 + 1 - 3 Dumbell Squat snatch/DB Power snatch + Overhead squat

If you still haven´t got the strict muscle-up practice the strength and technique on that. A good alternative is also to work on the strict strength requirements for the movement. The Dumbell squat snatch starts with the handle in line with the feet. Shrug, elbow to the side and pull yourself below the DB in a full squat. If you still don´t have the mobility practice as deep as possible with good technique/control.",14.0,2022-08-21 17:02:55.403,2022-08-21 17:02:55.404,cl6jsjxy00006uyo8h2v8fr2e,EMOM
1573,"",BLACK,WOD,false,"5 rounds of
20 Wallballs 9/6 kg 3/2,7 m
15 Boxjump over 60/50 cm
10 Dumbell squat snatch 22,5/15 kg (alternating hands)
Rest 1 min between rounds
Time cap 17 min

Scaled variation
5 rounds for time:
15 Wallballs
10 Boxjump over
10 DB power snatch alternating hands 15/10 kg
Rest 1 min between rounds
Time cap 17 min

Interval format with a lot of leg work and some technique. If possible go unbroken on this one!",17.0,2022-08-21 17:04:06.313,2022-08-21 17:04:06.313,cl6jsjxy00006uyo8h2v8fr2e,FOR_TIME
1574,"",BLACK,INTENSE_MOBILITY,false,"INTENSE MOBILITY
3 rounds 
40s V-ups/Tuck ups
40 + 40 Shinbox
90 Shoulder complex
3 rounds
20 + 20 Side plank raises
40 + 40 Diagonal stretch
3 rounds
90 Handstand toe pulls/Shrugs
40 Sissy squats
3 rounds
40 Bridge pushups
40 + 40 Dragon squats",NULL,2022-08-21 17:04:58.523,2022-08-21 17:04:58.523,cl6jsjxy00006uyo8h2v8fr2e,EMOM
1672,Rep max Snatch,NULL,STRENGTH,false,"Increase the weights gradually and if you don´t have a solid technique on these complex movements you should not max out. Instead take a note of on which weight your technique broke down. Example of 1RM build up after barbell warm up
1.        ~ 40-50%        5 reps  
2.        ~ 60%        3        
3.        ~ 70%        2        
4.        ~ 80%        1  
5.        ~ 85%        1
6.        ~ 90%        1        
7.        ~ 95%        1 
8.        ~ 98%        1       
9. 101 - 105%       1    ",20.0,2022-08-31 13:08:36.876,2022-08-31 13:09:36.251,cl6jsjxy00006uyo8h2v8fr2e,ONE_REP_MAX
1673,Rep max Deadlift,NULL,STRENGTH,false,"1 RM, 3RM Deadlift or 5RM alternatively 3 - 4 x 1 Heavy singles training for quality. If your going for RM make sure to take long rests (3 min or more) when you get close to your max. Example of 1 RM build up
1.        ~ 30-50%        8 reps  
2.        ~ 60%        5        at ~ 2 minutes
3.        ~ 70%        3        at ~ 4 minutes
4.        ~ 80%        1        at ~ 7 minutes
5.        ~ 90%        1        at ~ 10 minutes 
6.      ~ 95%          1        at ~ 14 minutes
7. (max out)        101 - 105%        1        at ~ 18 minutes",18.0,2022-08-31 13:11:13.733,2022-08-31 13:11:13.735,cl6jsjxy00006uyo8h2v8fr2e,ONE_REP_MAX
1674,Grace,NULL,WOD,false,"For time:
30 reps clean and jerk @ 61/43kg

Grace is a real ""power output"" workout where small sets is a good strategy for most of us. Make sure to only do quality reps and for some of us singles from the beginning is a good strategy. If your technique still is work in progress go for a weight that you can handle when fatigue sets in. ",8.0,2022-08-31 13:12:14.717,2022-08-31 13:12:14.718,cl6jsjxy00006uyo8h2v8fr2e,FOR_TIME
1771,"",RED,STRENGTH_OR_SKILLS,false,"5 x E3M
5 L + 5 R Bulgarian split squats
5 Harop curls or Leg curl on the rower

Measure up 3,5 foot from the bench on the BSS for a perfect distance. Strict controlled tempo on both movements around 3s eccentric.",15.0,2022-09-06 12:25:29.937,2022-09-06 12:25:29.939,cl6jsjxy00006uyo8h2v8fr2e,EMOM
1772,"",RED,WOD,false,"40 Wallball lunges 9/6 kg 3/2,7 m
25 Burpee reach + 15 cm 
100 Double unders/Single unders 2 for 1
Time cap 7 min

And then on minute 8

35 Wallball lunges
20 Burpee reach
80 Double unders/Single unders 2 for 1
Time cap 14 min

B. Very tough met-con with a lot of legs and cardio. Still probably be a bit smart on the L WB to not override your capacity and hit the wall to early. 

",14.0,2022-09-06 12:30:13.889,2022-09-06 12:30:13.890,cl6jsjxy00006uyo8h2v8fr2e,FOR_TIME
1575,"",YELLOW,STRENGTH_OR_SKILLS,false,"A. 4 x E3M
8 - 6 - 4 - 2 Back squats. Start from 70% 1 RM
8 - 6 - 4 - 2 Bar dips. Build up load

Keep the core tight and and maybe work up to 90% if the technique feels good. Strict controlled tempo on the B dips. ",12.0,2022-08-23 20:24:29.818,2022-08-23 20:24:29.819,cl6jsjxy00006uyo8h2v8fr2e,EMOM
13,NULL,NULL,GYMNASTICS,false,"EMOM x 12 
1) 10-40sec Handstand Tuck Hold - Wall facing 
2) 10x L-sit leglift over Medball/DB
3) 4-10 HS Plate step ups (plates outside hands)
4) 4-8 Pull Ups in rope/Row in rope

B.  AMRAP 3x3 - 2 min rest   
5 HSPU 
6 alt V ups 
10 Airsquats

OLY
A. EMOM x 5
5 Snatch push press (behind neck)
B. EMOM x 5
5 Snatch push jerk (behind neck)
C. 10 min. Go E2M
5-4-3-2-1 Hang squat snatch
D. In 12 min. 
Build up to a heavy 1-3RM OHS
",NULL,2022-05-19 00:00:00.000,2022-08-10 22:02:30.157,cl6jsjxy00006uyo8h2v8fr2e,NULL
34,NULL,BLACK,WOD,false,"""Chipper"" for time:
85 Wallballs 9/6 kg 3/2,7 m
65 Boxjump over 60/50 cm
45 Toes to bar
25 Power snatch 45/30 kg or 60% of 1RM
9 Wall walks
Time cap 16 min

Scaled variation
85 Wallballs 9/6/3 kg 2,7 m
65 Box step over 60/50 cm
45 Knee raises
25 Power snatch 30/20 kg
5 Wall walks or 9 Walk out to pushup
Time cap 16 min

Long ""Chipper"" style met-con that finishes with wall walks. Pace this one from the start to enable a strong finish. Probably break up the WBs, T2B and Power snathces in small sets. ",16.0,2022-06-21 00:00:00.000,2022-08-10 22:02:30.157,cl6jsjxy00006uyo8h2v8fr2e,FOR_TIME
12,NULL,BLACK,WOD,false,"5 min AMRAP
20 One arm DB snatch 22,5/15 kg
3 Rope climbs 3,5 m
3 min Rest
5 min AMRAP
5 Devils press 2 x 22,5/15 kg
3 Bar muscle - ups/Bands/Jumping variation from box

Scaled alternative
5 min AMRAP
20 One arm DB snatch at individual weights
8 Ring rows at individual angle
3 min Rest
5 min AMRAP
5 Devils press at individual weights
8 Australian rows

Two short and technical amraps. All of the options will build your grip and pulling strength. Make sure to use the chalk and even thou the amraps are short pace it according to your capacity. On the Australian row make sure that the bar is firmly stuck to the rack for safety measures. 

",13.0,2022-05-19 00:00:00.000,2022-08-10 22:02:30.157,cl6jsjxy00006uyo8h2v8fr2e,AMRAP
45,NULL,YELLOW,WOD,false,"18 min AMRAP
9 Burpee boxjumps
18 Wallballs 9/6 kg and 3/2,7 m
27 Kettlebell swings lagom 24/16 kg

Big movements so probably keep the tempo down if you want to be able to stay below the lactic thresh hold.",18.0,2022-07-04 00:00:00.000,2022-08-10 22:02:30.157,cl6jsjxy00006uyo8h2v8fr2e,AMRAP
38,NULL,NULL,GYMNASTICS,false,"A. 8min 
4-5 Rope climbs/ legless or practice

B. 3 rounds
5-7 Saw in rings
10-20m Sandbag walk
6-8 Ring dips 
3-6 Strict HSPU 

C. 4 rounds - 30 sec ON/ 15sec OFF
Plank diagonal lifts
Lying Windshield wipers

OLY
5xEMOM
3 Power clean and jerk
5xE2M
1 power clean
2 front squat
1 jerk
5xE3M
4 Front squat 80%
5xE2M
2 Front squat 90%
",NULL,2022-06-23 00:00:00.000,2022-08-10 22:02:30.157,cl6jsjxy00006uyo8h2v8fr2e,NULL
39,NULL,YELLOW,STRENGTH_OR_SKILLS,false,"4 x E3M

 5X5 Backrack backward barbell lunges 
  + 
  5 L + 5 R One leg KB deadlifts",12.0,2022-06-29 00:00:00.000,2022-08-10 22:02:30.157,cl6jsjxy00006uyo8h2v8fr2e,NULL
1675,"",BLACK,STRENGTH_OR_SKILLS,false,"4 x E3,5M
3 - 20 m Handstand walk/Progression work
1 - 3 Rope climbs/Floor rope get ups
Scaled variation
10 - 30 Shoulder taps wallfacing/Box shoulder taps
6 - 10 Ring rows with 3s eccentric

On the HS walk make sure to extend the shoulders long before starting to walk. Shoulder taps is a good option to walking to build up strength. On the RC´s don´t stress. It´s more about using the legs by  having a good leg/feet lock.",14.0,2022-09-03 20:01:33.922,2022-09-03 20:01:33.923,cl6jsjxy00006uyo8h2v8fr2e,EMOM
1576,"",YELLOW,WOD,false,"8 Front squats 60/40 kg or 50 - 60% of 1 RM
8 Toes to bar/12 Knee raises
8 Handrelease pushups
8 Boxjumps 60/50 cm

Tricky to pace met-con because of the big movements but can you still keep it in the yellow zone?",16.0,2022-08-23 20:25:53.104,2022-08-23 20:26:11.231,cl6jsjxy00006uyo8h2v8fr2e,AMRAP
1577,"",NULL,OLYMPIC_WEIGHTLIFTING,false,"A. 5xEMOM (empty barbell)
3 snatch pull, 2s paus above knee
2 squat snatch, 2s paus above knee

B. 6xE2,5M (70-80%)
3 snatch pull, 2s paus above knee
1 squat snatch, 2s paus above knee

C. 6xE2,5M (80%)
2 Back squats 

D. 3xE2M (80%)
3 Strict press",41.0,2022-08-23 20:27:23.757,2022-08-23 20:27:23.757,cl6jsjxy00006uyo8h2v8fr2e,EMOM
1774,NULL,YELLOW,UNCLASSIFIED,false,"Yellow - Intermediate

A. 4 x E3M
5 Push press starting at 70% of 1RM
6 - 8 One arm DB rows with 2s eccentric

B. 18 min AMRAP
3/2 Wall walks
9 Box step over with DB carry anyhow 60/50 cm 22,5/15 kg
18 Deadlifts 80/50 kg or 40% of 1RM
30s rest

A. Push press is about finding a good rack position which enables you to use your legs. On the OA BD rows work on the mind muscle connection. Focus on using the lat muscles. 

B. Even thou there is a 30s rest every round make sure to not rush this one from the start. Quality reps all the way through.

INTENSE MOBILITY
3 rounds of
50s Cozzack squats
25s L +25s R One arm Side plank raises
3 rounds of
15s L + 15s R Scissor squat holds
50s Diagonal dead bugs
3 rounds of
50s Elephant walks
50s Reverse Nordics
3 rounds of
50s Pass throughs prone
25s L + 25s R Quadruped leg swing
3 rounds of
50s Bridge wall walks
50s Freestanding calf raises",NULL,2022-05-09 00:00:00.000,2022-09-10 16:58:56.119,cl6jsjxy00006uyo8h2v8fr2e,NULL
1776,NULL,NULL,UNCLASSIFIED,false,"TEAM	

A. 15 min AMRAP
10 Chest to bar pullups/Pullups/Eccentric/Ring row
15 KB frontrack squats 2 x 24/16 kg or Individual weights
20 Sumo deadlift high pull 50/35 kg 

B. 15 min AMRAP
30 Wallballs 9/6 kg 3/2,7 m
15 Singel arm Devils press 22,5/15 kg
10 Power snatch 50/35 kg

Divide these two high intensity pieces anyhow. Can you move well with good technique all the way through?		

STRENGTH
A. 4 x E3M
1 - 3 Rope climbs
10 - 20m Heavy sled push
B. 4 x E3M
5 Narrow grip bench press starting at 70%
5 + 5 One leg KB deadlift with a one arm row on every rep
C. 4 x E3M
20 - 30m Heavy farmers carry
5 Sandbag/Medball over shoulder clean",NULL,2022-05-15 00:00:00.000,2022-09-10 16:58:56.119,cl6jsjxy00006uyo8h2v8fr2e,NULL
1778,NULL,RED,UNCLASSIFIED,false,"Red - Intense

A. 5 x E2M
3 Deadlifts with a new set up on each rep
directly into
3 Broad jumps
Start the DLs from 70% of 1 RM 

B. 6 min AMRAP
5 Power clean 70/45 kg or 70% of 1 RM
9 Toes to bar/15 Knee raises
45 Double unders/Singel unders 2 for 1
3 min Rest 
4 min AMRAP
5 Power clean 60/35 kg
7 Toes to bar/12 Knee raises
35 Double unders/Singel unders 2 for 1

A. Super tight set up on each DL and make sure to perform the broad jumps with control on the landings.

B. Very intense met-con which requiries a good strategy and focus from the start. Can you keep a high pace on the last rounds also?

INTENSE MOBILITY
3 rounds of
50s Hollow V-ups weighted
50s Dynamic pigeons
3 rounds of
50s Sissy squats
50s Lateral swings
3 rounds of
50s Straddle ups
50s Handstand wallfacing shoulder taps
3 rounds of
50s Horse stance pulses
50s Weighted shoulder complex
3 rounds of
20 - 50s Bridge hold
15s Straddle lifts + 30s Pike lifts",NULL,2022-05-18 00:00:00.000,2022-09-10 16:58:56.119,cl6jsjxy00006uyo8h2v8fr2e,NULL
1781,NULL,NULL,UNCLASSIFIED,false,"TEAM
AMRAP 35 min (divide anyhow)
150 m Heavy Sandbag or Medball carry
100 Double unders/Singel unders 2 for 1
75 cal Row, Bike or Ski
50 Handrelease pushups
25 Dumbell thrusters 2 x 22,5/15 kg

STRENGTH
A. 4 x E3M
10 Backrack backward barbell lunges
directly into
5 - 10 High and heavy Wallballs (as high and heavy form allows)

B. 4 x E3M
5 - 10 Pushups with hands on a barbell
directly into
5 Explosive Burpee boxjumps (high)

C. 4 x E3M
5 - 10 Ring rows
directly into
20 - 40 m Heavy sandbag carry

On the Pushups make sure the barbell is not rolling and maybe use extra weight on the back. Touch the chest on the barbell every rep. ",NULL,2022-05-22 00:00:00.000,2022-09-10 16:58:56.119,cl6jsjxy00006uyo8h2v8fr2e,NULL
10,NULL,YELLOW,WOD,false,"18 min AMRAP
15 Kettlebell swings american 24/16 kg
12 Burpees
9 Thrusters 30/20 kg
6 Lunge wallballs 9/6 kg 3/2,7 m

 Tricky intermediate met-con because of the big movements and a relatively large leg load. If your goal is to keep an even tempo all the way through you will probably have to pace a lot from the start.",18.0,2022-05-17 00:00:00.000,2022-08-10 22:02:30.156,cl6jsjxy00006uyo8h2v8fr2e,AMRAP
1313,Handstand rock training,BLACK,STRENGTH_OR_SKILLS,true,"6 times E2M - 10 Handstand rock
Good position, core tight glutes tight",12.0,2022-08-14 07:34:35.125,2022-08-14 20:36:25.859,cl6jsjxy00006uyo8h2v8fr2e,EMOM
54,NULL,GREEN,STRENGTH_OR_SKILLS,true,"1 min on, 1 min off x 3
1. Handstand hold/pike hold
2. Wall sit
3. lateral pistol hold 30/30",12.0,2022-07-11 00:00:00.000,2022-08-10 22:02:30.157,cl6jsjxy00006uyo8h2v8fr2e,NULL
46,NULL,YELLOW,STRENGTH_OR_SKILLS,true,"3 rounds of:
30 s wall sit + weight
10 squat jumps (+weight)
20 jumping lunges
rest 1-1,5 min",NULL,2022-07-04 00:00:00.000,2022-08-10 22:02:30.157,cl6jsjxy00006uyo8h2v8fr2e,NULL
31,NULL,YELLOW,STRENGTH_OR_SKILLS,false,"15 min 4 x 5 rep Back squat starting at 70% of 1 RM

Tight core, deep and with control.",15.0,2022-06-14 00:00:00.000,2022-08-10 22:02:30.157,cl6jsjxy00006uyo8h2v8fr2e,NULL
68,NULL,RED,STRENGTH_OR_SKILLS,false,"In 12 min 4 - 5 sets x 5 reps
5 Back squats 
Start from 70% of 1RM and increase the weight btw 2,5 - 5 kg each set
Rest minimum 90s btw each set

A. Tight set up on each rep and brace harder as the weight increases.",12.0,2022-07-22 00:00:00.000,2022-08-10 22:02:30.158,cl6jsjxy00006uyo8h2v8fr2e,NULL
1578,"",BLACK,STRENGTH_OR_SKILLS,false,"4 x E3,5M
2 - 4 Strict wallfacing Handstand pushups 3 s eccentric
5 - 15 Triple unders
Optional to use 1 or 2 Abmats to scale the SWFHSPU

Scaled variation
2 - 4 Pike pushups 3 s eccentric
5 - 30 Double unders or Technique practice

When performing strict wallfacing handstand pushups make sure to keep the body line. I.e. no arching of the back. Also make sure to not exaggarate the width of the hands. Descend slightly forward and down creating a triangular base in the bottom and also full extension on the top. Triple unders is a real power jump with fast snappy wrists. Same technique as Double unders but higher and even faster.",14.0,2022-08-26 08:17:02.454,2022-08-26 08:17:02.455,cl6jsjxy00006uyo8h2v8fr2e,EMOM
36,NULL,YELLOW,STRENGTH_OR_SKILLS,false,"4 x E2M
10 - 8 - 6 - 4 Ring pushups

Strict Ring push ups with increased load every round.",8.0,2022-06-23 00:00:00.000,2022-08-10 22:02:30.157,cl6jsjxy00006uyo8h2v8fr2e,EMOM
30,NULL,YELLOW,WOD,false,"20 min AMRAP
14/12 cal Row
10L + 10R One arm DB push jerk/press 22,5/15 kg
8 DB step ups carry anyhow 60/50 cm
6 Burpee with DB power clean 2 x 22,5/15 kg

Long intermediate met-con with a lot of Dumbell work. Use the row as your recovery piece.",20.0,2022-06-10 00:00:00.000,2022-08-10 22:02:30.157,cl6jsjxy00006uyo8h2v8fr2e,AMRAP
43,NULL,BLACK,WOD,false,"6 min AMRAP
6 Chest to bar pullups
12 Overhead squats 50/35 kg or 50 - 60% of 1 RM
3 min Rest
6 min AMRAP
12 Toes to bar
6 Squat snatch 50/35 kg or 60 - 70% of 1 RM

Scaled variation
6 min AMRAP
6 Pullups/Band/Jumping
12 Overhead squats 30/20 kg or individual weight
3 min Rest
6 min AMRAP
12 Knee raises
6 Squat snatch or Squat clean at 30/20 kg or individual weights

Tough couplet of barbell and bar work. Probably break up both movements from the start and strive for best possible movement/technique.",15.0,2022-07-01 00:00:00.000,2022-08-10 22:02:30.157,cl6jsjxy00006uyo8h2v8fr2e,AMRAP
56,Smoked legs,GREEN,WOD,true,"25 min amrap 
Broad jumps x 4
Jump squats x 4
Laterala lunges x 6 alt ben
Bear Squats x 8
Table rocks x 10
Diagonal Mountain climbers x 12
Air squats x 14
jumping lunges x 16
2 min active recovery (walk)",25.0,2022-07-11 00:00:00.000,2022-08-10 22:02:30.157,cl6jsjxy00006uyo8h2v8fr2e,AMRAP
75,NULL,YELLOW,WOD,false,"21 min AMRAP
42 Lunges walking forward in any direction 
35 Sumo Deadlift high pull 35/25 kg
28 Bicycle crunches touching elbow to knee/Without touch
21 Pushups
15 Pullups or Barbell row same weight as SDLHP

Long intermediate met-con with a lot of everything. Pace it from the beginning.",21.0,2022-08-05 00:00:00.000,2022-08-10 22:02:30.158,cl6jsjxy00006uyo8h2v8fr2e,AMRAP
