"id","workoutSessionId","workoutId","isRx","totalReps","time","rating","description","shouldRecommendWorkoutAgain","createdAt","updatedAt","weight","order"
44,27,60,true,NULL,NULL,4,"Great endurance workout, did 4 rounds + 556 meters row. Try 9mn per round to get 3 extra minutes on the last round and finish the row",true,2022-08-06 11:56:39.081,2022-08-10 22:03:16.298,NULL,1
45,28,63,false,NULL,NULL,4,Finished with 140KG Deadlift and 75KG Push press,true,2022-08-06 11:56:39.081,2022-08-10 22:03:16.298,NULL,1
46,28,64,true,NULL,195,5,"Very fast workout, super fun, rushing all the way",true,2022-08-06 11:56:39.081,2022-08-10 22:03:16.298,NULL,2
47,29,67,true,NULL,NULL,3,"Long intense workout, especially on the B part.
 A. 9 Rounds + 10 one-arm KB swings 
 A. 6 Rounds + 17 KB swings",false,2022-08-06 11:56:39.082,2022-08-10 22:03:16.298,NULL,1
48,30,68,false,NULL,NULL,2,"Did 90KG backsquats all the way, focusing on quality - Not so easy",false,2022-08-06 11:56:39.082,2022-08-10 22:03:16.298,NULL,1
49,30,69,true,209,NULL,3,"Super fun workout, but was a bit unefficient on the wallballs. Went until 20 wallballs and 9 shuttle run",true,2022-08-06 11:56:39.082,2022-08-10 22:03:16.298,NULL,2
50,31,41,true,128,NULL,4,Finished the 15th round with a lot of struggle - outside on holiday in Edholma,true,2022-08-06 11:56:39.082,2022-08-10 22:03:16.298,NULL,1
51,32,70,true,NULL,NULL,3,"A - Backsquats: 80KG - 85KG - 90KG
B - Z-Press: 15KG - 20KG - 20KG

 A bit heavy on the Z-press",true,2022-08-06 11:56:39.082,2022-08-10 22:03:16.298,NULL,1
52,32,71,true,404,NULL,4,"8 Rounds + 4 squats, quite long but fun workout, tough on the squats towards the end",true,2022-08-06 11:56:39.082,2022-08-10 22:03:16.299,NULL,2
53,33,72,true,NULL,NULL,2,"Really need to work on the deficit handstand pushup - usually doing only one.
24KG on the Turkish get up, only one left - one right",true,2022-08-06 11:56:39.082,2022-08-10 22:03:16.299,NULL,1
54,33,73,true,177,NULL,4,"Couldn't find a good pace, because it was warm and I felt tired, but lovely workout",true,2022-08-06 11:56:39.082,2022-08-10 22:03:16.298,NULL,2
55,34,73,true,214,NULL,NULL,"Open crossfit session, good score",true,2022-08-06 11:56:39.082,2022-08-10 22:03:16.298,NULL,1
56,35,74,true,NULL,NULL,3,"Lunges: 22.5KG then 26KG on the walking lunges
Ring pushups: 20KG sandbag and 8 reps",false,2022-08-06 11:56:39.082,2022-08-10 22:03:16.298,NULL,1
57,35,75,true,365,NULL,2,"2 Rounds and until 6 reps of Bycicle crunches, very hard and long workout",true,2022-08-06 11:56:39.082,2022-08-10 22:03:16.298,NULL,2
58,36,44,false,NULL,NULL,3,"50 - 60 - 70 - 70 - 75 - 80KG
Veeery hard on the powerclean at 80KG and not great form, but did it.",true,2022-08-07 11:53:11.139,2022-08-10 22:03:16.298,NULL,1
59,36,49,true,NULL,643,4,Good push on the last double unders - Love this workout <3,true,2022-08-07 11:53:11.139,2022-08-10 22:03:16.298,NULL,2
60,37,77,true,1232,NULL,3,"Nice workout, quite tough and not sure about the results

A. 434 reps (almost 3 rounds)
B. 798 reps (around 4.5 rounds)",true,2022-08-08 19:57:40.893,2022-08-10 22:03:16.298,NULL,1
61,38,78,true,NULL,NULL,3,Backsquats: 70 - 75 - 80 - 90KG and Harop curl on the rower 😅,true,2022-08-10 22:03:16.298,2022-08-10 22:03:16.298,NULL,1
62,38,79,true,100,NULL,2,"Almost 4 rounds, had a calf cramp at the end, very hard but very fun!
I absolutely need to do it again, and maybe finish it someday",true,2022-08-10 22:03:16.298,2022-08-10 22:03:16.299,NULL,2
63,39,1228,true,NULL,NULL,NULL,"25 Cal row - 20 KB Suitcase - 10 Skater squats - ≈40sec handstand hold - ≈20sec pullup hold",true,2022-08-13 08:51:48.836,2022-08-13 08:51:48.836,NULL,1
64,40,1313,true,NULL,NULL,3,"Great should mobility workout 
I wasn't very focused on kipping the core tight tho..",true,2022-08-14 21:01:28.757,2022-08-14 21:00:36.392,NULL,1
65,40,79,true,112,NULL,NULL,"Did singles on the clusters and 4X3 on the Chest to bar
Reached 4 rounds so closer to success!",true,2022-08-14 21:06:09.713,2022-08-14 21:06:00.965,NULL,2
66,41,80,NULL,NULL,NULL,3,"Great mobility work, the berber squat is particularely nice to do",false,2022-08-15 19:22:54.260,2022-08-15 19:22:54.260,NULL,1
69,43,1385,true,88,NULL,4,"Was supposed to be hardcore, especially because of the Kettlbells, but it was fun! 
I should definitely do it again and do 5 rounds if possible",true,2022-08-18 15:24:01.118,2022-08-18 16:00:00.759,NULL,2
70,44,1495,true,NULL,NULL,3,"Did 6 rounds + 1 bonus round, great team workout",false,2022-08-20 17:10:51.307,2022-08-20 17:10:51.307,NULL,1
1,1,3,true,220,NULL,NULL,NULL,false,2022-08-06 11:56:39.079,2022-08-10 22:03:16.297,NULL,1
89,67,1660,true,NULL,NULL,NULL,"Was before the back surgery, had back pain",false,2022-08-31 14:00:56.335,2022-09-01 12:40:03.090,80.0,1
2,2,1,true,281,NULL,NULL,NULL,false,2022-08-06 11:56:39.079,2022-08-10 22:03:16.297,NULL,1
3,3,1,true,260,NULL,NULL,NULL,false,2022-08-06 11:56:39.079,2022-08-10 22:03:16.297,NULL,1
4,4,1,true,283,NULL,NULL,NULL,false,2022-08-06 11:56:39.079,2022-08-10 22:03:16.297,NULL,1
90,67,1671,false,NULL,443,NULL,My first 2K Row,false,2022-08-31 14:00:56.335,2022-09-01 12:40:03.090,NULL,2
97,60,1668,NULL,NULL,NULL,NULL,"",false,2022-09-01 14:48:14.048,2022-09-01 14:48:14.049,60.0,1
98,60,1671,NULL,NULL,446,NULL,NULL,false,2022-09-01 14:48:14.049,2022-09-01 14:48:14.049,NULL,2
105,63,1672,true,NULL,NULL,4,"Not my strength so it was hard
Happy with 60KG but need to work on the technique",false,2022-09-02 08:43:45.079,2022-09-02 08:43:45.080,60.0,1
106,63,1674,true,NULL,255,4,"First time doing grace, I was surprised by my result, was expecting worse",false,2022-09-02 08:43:45.080,2022-09-02 08:43:45.081,NULL,2
5,5,7,false,NULL,NULL,NULL,"First set of frontsquat at 60KG, then 80KG 3 times, and last set at 90KG",false,2022-08-06 11:56:39.080,2022-08-10 22:03:16.297,NULL,1
6,5,8,true,NULL,640,NULL,NULL,false,2022-08-06 11:56:39.080,2022-08-10 22:03:16.297,NULL,2
7,6,9,false,NULL,NULL,NULL,Ring dips - Farmers carry at 32KG and skater squats trying to keep a good form all along,false,2022-08-06 11:56:39.080,2022-08-10 22:03:16.297,NULL,1
8,6,10,true,233,NULL,NULL,NULL,false,2022-08-06 11:56:39.080,2022-08-10 22:03:16.297,NULL,2
10,7,12,true,42,NULL,NULL,"2 Rounds + 3 DB Snatch (29 reps) & 2 rounds + 2 devils press (13 reps)",false,2022-08-06 11:56:39.080,2022-08-10 22:03:16.297,NULL,2
11,8,15,true,346,NULL,5,"133 + 139 + 74",false,2022-08-06 11:56:39.080,2022-08-10 22:03:16.297,NULL,1
91,68,1668,false,NULL,NULL,NULL,First PR after the back surgery,false,2022-09-01 13:56:56.910,2022-09-01 13:56:56.910,62.5,1
92,68,1671,NULL,NULL,458,NULL,A take on this tough workout after the surgery,false,2022-09-01 13:56:56.910,2022-09-01 13:56:56.911,NULL,2
93,69,1666,NULL,NULL,NULL,NULL,NULL,false,2022-09-01 13:59:39.198,2022-09-01 13:59:39.198,10.0,1
94,69,1669,NULL,NULL,546,NULL,"Wasn't done RX, but close - 40KG",false,2022-09-01 13:59:39.198,2022-09-01 13:59:39.198,NULL,2
99,58,1660,true,NULL,NULL,NULL,Nice back Squat result - first time over 100Kg,false,2022-09-01 18:31:35.256,2022-09-01 18:32:18.214,100.0,1
100,58,1669,true,NULL,382,4,"First time doing FRAN RX, great time!",false,2022-09-01 18:31:35.257,2022-09-01 18:32:18.214,NULL,2
107,64,1650,true,NULL,NULL,4,Happy with the result,false,2022-09-02 08:45:06.758,2022-09-02 08:45:06.759,85.0,1
108,65,1668,true,NULL,NULL,NULL,NULL,false,2022-09-02 08:47:56.630,2022-09-02 08:47:56.631,65.0,1
109,65,1674,NULL,NULL,230,3,"Why I haven't done it RX :/ can't remember
Used 60KG instead of 61 though",false,2022-09-02 08:47:56.630,2022-09-02 08:47:56.631,NULL,2
110,66,1673,true,NULL,NULL,3,"",false,2022-09-02 08:48:59.911,2022-09-02 08:48:59.911,140.0,1
29,18,39,true,NULL,NULL,3,Finished with 80KG on the barbell and used a 24Kg kettlebell,false,2022-08-06 11:56:39.081,2022-08-10 22:03:16.298,NULL,1
30,18,40,true,320,NULL,4,"8 rounds exactly - it was very warm so hard and long exercise but fun",false,2022-08-06 11:56:39.081,2022-08-10 22:03:16.298,NULL,2
31,19,41,true,116,NULL,4,"Did it outside, but not sure the result is 116 or 102.. I was tired",false,2022-08-06 11:56:39.081,2022-08-10 22:03:16.298,NULL,1
32,20,42,true,NULL,NULL,NULL,Did 3 muscle-ups all the way until the last set where I did 5 straight,false,2022-08-06 11:56:39.081,2022-08-10 22:03:16.298,NULL,1
33,20,43,false,116,NULL,4,"Took 40Kg on the Bar, very hard especially on the overhead squat, felt pain on my wrist",true,2022-08-06 11:56:39.081,2022-08-10 22:03:16.298,NULL,2
34,21,44,false,NULL,NULL,4,"50KG - 60KG - 65KG - 70KG - 75KG - 80KG
Dropped the bar on the second low hang power clean at 80Kg",true,2022-08-06 11:56:39.081,2022-08-10 22:03:16.298,NULL,1
35,21,45,true,174,NULL,4,Almost 5 rounds - finished at 12 Kb Swings on the 4th round - Hard to keep the cardio on a 'not too high' intensity,true,2022-08-06 11:56:39.081,2022-08-10 22:03:16.298,NULL,2
36,22,48,false,NULL,NULL,3,"3X40KG - 3X50KG - 3X55KG - 1X60KG - 1X60KG - 2X60KG",true,2022-08-06 11:56:39.081,2022-08-10 22:03:16.298,NULL,1
37,22,49,true,NULL,670,3,"Fun workout, tough on the grip and front arm, but good pace on the double unders",true,2022-08-06 11:56:39.081,2022-08-10 22:03:16.298,NULL,2
38,23,50,true,NULL,NULL,4,"Super nice and tough endurance/strength workout 

 TGU:24KG 
 Burpees Box jumps:4-6 
 Gorilla rows:24KG 
 Front rack carry:24KG 
 Wall walks:3 reps 
 Skater squats:5+5 
 Farmers carry:32KG",true,2022-08-06 11:56:39.081,2022-08-10 22:03:16.298,NULL,1
39,24,16,false,NULL,NULL,4,"Felt strong on the backsquat, 80-85-90-90-95 
 20KG on the Box for high boxjumps",false,2022-08-06 11:56:39.081,2022-08-10 22:03:16.298,NULL,1
40,24,32,true,221,NULL,2,"Tired from the first part on the legs, I might be able to push to five rounds for the next time",true,2022-08-06 11:56:39.081,2022-08-10 22:03:16.298,NULL,2
41,25,53,true,NULL,1984,4,"Good endurance workout, hard on the burpees",true,2022-08-06 11:56:39.081,2022-08-10 22:03:16.298,NULL,1
9,7,11,true,NULL,NULL,NULL,"3-2-2-2-2",false,2022-08-06 11:56:39.080,2022-08-10 22:03:16.297,NULL,1
12,9,16,false,NULL,NULL,NULL,"60KG - 70KG - 80KG - 90KG - 90KG",false,2022-08-06 11:56:39.080,2022-08-10 22:03:16.297,NULL,1
13,9,17,true,165,NULL,4,NULL,false,2022-08-06 11:56:39.080,2022-08-10 22:03:16.297,NULL,2
14,10,19,false,NULL,NULL,4,"2 to 3 HSPU and on the split squat: 30KG - 30KG - 35KG - 35KG - 40KG",false,2022-08-06 11:56:39.080,2022-08-10 22:03:16.297,NULL,1
15,10,20,true,NULL,688,4,NULL,false,2022-08-06 11:56:39.080,2022-08-10 22:03:16.297,NULL,2
16,11,22,true,165,NULL,3,NULL,false,2022-08-06 11:56:39.080,2022-08-10 22:03:16.297,NULL,1
17,12,25,true,216,NULL,2,"Tough one, really hard on the wallballs",false,2022-08-06 11:56:39.080,2022-08-10 22:03:16.297,NULL,1
18,13,26,false,NULL,NULL,NULL,Deadlift until 110KG,false,2022-08-06 11:56:39.080,2022-08-10 22:03:16.297,NULL,1
19,13,27,true,320,NULL,2,"Lots of breaks, tired quickly and couldn't keep the pace throughout",false,2022-08-06 11:56:39.080,2022-08-10 22:03:16.297,NULL,2
20,14,29,false,NULL,NULL,NULL,NULL,false,2022-08-06 11:56:39.080,2022-08-10 22:03:16.297,NULL,1
21,14,30,true,66,NULL,1,"4 rounds feeling tired, not a lot of sleep those days",false,2022-08-06 11:56:39.080,2022-08-10 22:03:16.297,NULL,2
22,15,31,false,NULL,NULL,4,"Started at 50KG, climbed until 105KG - Good feeling overall",false,2022-08-06 11:56:39.080,2022-08-10 22:03:16.297,NULL,1
23,15,32,true,225,NULL,4,"5 Rounds approximately, can't remember but did wallballs before boxjumps because of crowded box",false,2022-08-06 11:56:39.080,2022-08-10 22:03:16.297,NULL,2
24,16,33,false,NULL,NULL,3,Need to work on my squat snatch. Went until 50Kg but tough on the squat,false,2022-08-06 11:56:39.080,2022-08-10 22:03:16.297,NULL,1
25,16,34,true,206,NULL,4,"Went until 11 snatches. I Need to be a bit better at wallballs, I was missing the line sometimes. Harder on strength than cardio",false,2022-08-06 11:56:39.081,2022-08-10 22:03:16.297,NULL,2
26,17,35,false,NULL,NULL,3,"Started at 90KG, went until 4 reps of 120KG",false,2022-08-06 11:56:39.080,2022-08-10 22:03:16.297,NULL,1
27,17,36,false,NULL,NULL,3,Added 15KG on my back while doing ring push-ups on last 6 and 4 reps,false,2022-08-06 11:56:39.081,2022-08-10 22:03:16.298,NULL,2
28,17,37,true,270,NULL,4,"6 rounds exactly, pushed by Albin to challenge myself especially while I start back on the rower, pull before fixing the shoes",false,2022-08-06 11:56:39.081,2022-08-10 22:03:16.298,NULL,3
